run,case,cond,replicate,budget,passed,total,compiled,repairRounds,agentTestsDiscarded,agentNonSourceFiles,calls,used,refused,tokens,secs,usd
1044593892,cc-refresh-token,baseline,51,25,4,9,1,0,1,0,41,25,3,11654,109,0.2443
1044593894,cc-refresh-token,baseline,52,25,,9,0,3,0,1,49,25,11,18910,155,0.3168
1044593897,cc-refresh-token,baseline,53,25,7,9,1,0,0,0,35,25,4,9362,94,0.2388
1044557834,cc-refresh-token,oracle-gold,51,25,9,9,1,0,1,0,35,25,2,19862,180,0.3067
1044593888,cc-refresh-token,oracle-gold,52,25,9,9,1,0,1,0,34,25,2,19794,170,0.3194
1044593890,cc-refresh-token,oracle-gold,53,25,9,9,1,0,1,0,35,25,1,14867,238,0.3068
1044601603,client-auth-method,baseline,51,25,,9,0,3,1,0,65,25,6,33956,295,0.6076
1044601755,client-auth-method,baseline,52,25,6,9,1,0,0,0,35,25,3,8816,88,0.2784
1044601757,client-auth-method,baseline,53,25,,9,0,3,0,0,37,25,4,10412,97,0.3161
1044593899,client-auth-method,oracle-gold,51,25,9,9,1,0,1,0,33,25,2,8582,82,0.1956
1044593901,client-auth-method,oracle-gold,52,25,9,9,1,0,1,0,36,25,1,12858,1312,0.3525
1044593903,client-auth-method,oracle-gold,53,25,9,9,1,0,1,0,32,25,1,8302,165,0.2187
1044601765,oauth-grant-type,baseline,51,30,,10,0,3,0,0,40,30,3,11010,109,0.3513
1044601767,oauth-grant-type,baseline,52,30,,10,0,3,0,5,62,30,4,25180,202,0.5448
1044601759,oauth-grant-type,oracle-gold,51,30,10,10,1,0,1,0,38,30,1,8721,160,0.2247
1044601761,oauth-grant-type,oracle-gold,52,30,8,10,1,0,1,0,39,30,1,10011,264,0.2505
1044601763,oauth-grant-type,oracle-gold,53,30,10,10,1,0,1,0,37,30,2,8984,130,0.2178
