arm,step,V,V_lo,V_hi,RCW_tokens_mean
jh3-none,13,0.8,0.3755,0.9638,6647.0
jh3-none,15,1.0,0.5655,1.0,5097.5
jh3-none,16,1.0,0.5655,1.0,4744.2
jh3-none,17,1.0,0.5655,1.0,4445.5
jh3-none,18,1.0,0.5655,1.0,5548.75
