arm,step,V,V_lo,V_hi,RCW_tokens_mean
sb31-mcp,7,1.0,0.5655,1.0,11048.8
sb31-mcp,10,1.0,0.5655,1.0,5870.2
sb31-mcp,12,1.0,0.5655,1.0,7933.8
sb31-mcp,13,1.0,0.5655,1.0,4155.4
sb31-none,5,1.0,0.5655,1.0,12971.0
sb31-none,9,1.0,0.5655,1.0,7955.0
sb31-none,12,1.0,0.5655,1.0,3824.8
sb31-none,13,1.0,0.5655,1.0,3190.8
