arm,step,checkpointId,upstreamToolCalls,upstreamTokens,upstreamSeconds,layerCov,editFraction,RCW_tokens_mean,RCW_tokens_lo,RCW_tokens_hi,RCW_tokens_raw
jh3-none,13,C1,13.0,6616.0,80.0,0.2,0.0,6647.0,,,6647
jh3-none,15,C2,15.0,7159.0,87.0,0.8,0.1667,5097.5,4584.5,5610.5,4446|4723|5337|5884
jh3-none,16,C3,16.0,7159.0,89.0,0.8,0.25,4744.2,4108.4,5380.0,3867|3888|5032|5072|5862
jh3-none,17,C4,17.0,7497.0,95.0,1.0,0.3333,4445.5,3699.5,5191.5,3541|3858|4887|5496
jh3-none,18,C5,18.0,8776.0,109.0,1.0,0.4167,5548.75,4165.0,7361.75,3688|4643|5596|8268
