arm,fromStep,toStep,landsOn,deltaRCW,p,upstreamTokensSpent,eta
pc36-none,11,12,Mmid|T,3195.2,0.30328,768.0,4.1604
pc36-none,12,13,Mlast,1323.13,0.49829,1409.0,0.9391
