arm,step,checkpointId,upstreamToolCalls,upstreamTokens,upstreamSeconds,layerCov,editFraction,RCW_tokens_mean,RCW_tokens_lo,RCW_tokens_hi,RCW_tokens_raw
pc36-none,11,C1,11.0,1989.0,36.0,0.3333,0.0,8715.0,3070.75,11958.5,212|10731|11647|12270
pc36-none,12,C2,12.0,2757.0,44.0,0.6667,0.1111,5519.8,3422.0,7693.0,2622|3362|5142|7158|9315
pc36-none,13,C3,13.0,4166.0,59.0,1.0,0.2222,4196.67,3715.0,5030.0,3715|3845|5030
