arm,step,V,V_lo,V_hi,RCW_tokens_mean
pc36-none,11,1.0,0.5655,1.0,8715.0
pc36-none,12,1.0,0.5655,1.0,5519.8
pc36-none,13,1.0,0.5655,1.0,4196.67
