arm,step,V,V_lo,V_hi,RCW_tokens_mean
fs25-none,10,1.0,0.5655,1.0,11265.5
fs25-none,24,1.0,0.5655,1.0,9727.8
fs25-none,30,1.0,0.5655,1.0,8186.25
fs25-none,31,1.0,0.5655,1.0,6167.33
fs25-none,38,1.0,0.5655,1.0,3794.0
